First Name,Last Name,Email,Password,Date of Birth
Ігор,Євтушок,vitrukalla@example.com,kLEuW^8h_4,1988-08-20
Павло,Дуплій,havrylo31@example.net,^#i%RbSeM9,1993-01-11
Трохим,Червоненко,iaremababiuk@example.com,2LSuKRt*(4,1991-09-18
Адам,Тичина,olena56@example.com,Mn)#47VkG$,1969-02-10
Нестор,Василечко,tsisykmykyta@example.com,$7Ia5&Ii#1,1971-02-18
Станіслав,Шило,petro89@example.net,oY$0v+_dE_,1990-03-27
Геннадій,Твердохліб,furszlatoslava@example.com,a%lh1Crxn#,1978-01-28
Ілля,Терещенко,revaoles@example.org,V**XSB4oyF,2006-06-15
Богуслав,Бандурка,bohuslav04@example.com,i2MsH#t9(C,1994-03-15
Климент,Захарченко,qbairak@example.net,%E5$vS#y)!,1991-12-01
